Date,R_YEA,R_NAY,D_YEA,D_NAY,I_YEA,I_NAY
"1990-07-31T15:02:00.000Z",174,1,250,3,0,0
"1990-07-31T18:57:00.000Z",0,0,0,0,0,0
"1990-07-31T19:08:00.000Z",171,1,247,1,0,0
"1990-07-31T20:14:00.000Z",22,147,178,64,0,0
"1990-07-31T21:34:00.000Z",168,0,232,12,0,0
"1990-08-01T12:11:00.000Z",62,107,0,247,0,0
"1990-08-01T12:54:00.000Z",132,42,246,1,0,0
"1990-08-01T16:40:00.000Z",81,91,90,159,0,0
"1990-08-01T17:01:00.000Z",150,21,225,24,0,0
"1990-08-01T18:54:00.000Z",42,131,192,56,0,0
"1990-08-01T20:41:00.000Z",83,89,0,247,0,0
"1990-08-01T21:54:00.000Z",117,54,210,37,0,0
"1990-08-02T10:26:00.000Z",59,103,230,5,0,0
"1990-08-02T13:46:00.000Z",40,134,131,118,0,0
"1990-08-02T14:11:00.000Z",169,5,236,10,0,0
"1990-08-02T14:52:00.000Z",173,0,243,0,0,0
"1990-08-02T16:48:00.000Z",2,171,245,0,0,0
"1990-08-02T17:07:00.000Z",3,170,243,5,0,0
"1990-08-02T21:22:00.000Z",148,23,249,1,0,0
"1990-08-02T22:11:00.000Z",80,93,209,41,0,0
"1990-08-03T10:27:00.000Z",45,119,225,7,0,0
"1990-08-03T13:48:00.000Z",160,14,28,224,0,0
"1990-08-03T14:11:00.000Z",32,142,240,12,0,0
"1990-08-03T14:43:00.000Z",41,128,243,3,0,0
"1990-08-03T15:01:00.000Z",46,123,239,3,0,0
"1990-08-03T15:30:00.000Z",46,126,201,46,0,0
"1990-08-03T17:06:00.000Z",0,171,232,14,0,0
"1990-08-03T17:26:00.000Z",126,38,3,237,0,0
"1990-08-03T22:43:00.000Z",166,1,3,240,0,0
"1990-08-03T23:04:00.000Z",11,9,111,119,0,0
"1990-08-03T23:21:00.000Z",15,152,240,3,0,0
"1990-08-03T23:59:00.000Z",76,79,205,3,0,0
"1990-08-03T23:59:00.000Z",155,0,205,0,0,0
"1990-09-11T16:45:00.000Z",169,1,244,0,0,0
"1990-09-11T18:18:00.000Z",163,8,67,180,0,0
"1990-09-12T12:04:00.000Z",105,59,222,6,0,0
"1990-09-12T16:54:00.000Z",159,15,15,234,0,0
"1990-09-12T17:32:00.000Z",141,33,229,20,0,0
"1990-09-12T18:06:00.000Z",13,160,144,105,0,0
"1990-09-12T18:42:00.000Z",45,127,242,7,0,0
"1990-09-13T10:31:00.000Z",60,98,221,5,0,0
"1990-09-13T14:29:00.000Z",0,0,0,0,0,0
"1990-09-13T14:44:00.000Z",166,3,34,209,0,0
"1990-09-13T17:12:00.000Z",162,0,229,0,0,0
"1990-09-17T17:32:00.000Z",157,0,211,0,0,0
"1990-09-17T17:52:00.000Z",152,5,75,137,0,0
"1990-09-18T12:30:00.000Z",54,116,239,5,0,0
"1990-09-18T15:19:00.000Z",71,101,200,48,0,0
"1990-09-18T16:38:00.000Z",74,99,9,239,0,0
"1990-09-18T17:22:00.000Z",5,168,130,118,0,0
"1990-09-18T17:56:00.000Z",127,45,14,228,0,0
"1990-09-18T18:30:00.000Z",20,150,205,39,0,0
