Date,R_YEA,R_NAY,D_YEA,D_NAY,I_YEA,I_NAY
"1990-08-03T05:16:00.000Z",42,3,51,3,0,0
"1990-08-03T05:38:00.000Z",30,15,51,3,0,0
"1990-08-03T07:32:00.000Z",40,5,12,40,0,0
"1990-08-03T08:41:00.000Z",34,10,9,44,0,0
"1990-08-03T09:31:00.000Z",5,39,38,15,0,0
"1990-08-03T11:08:00.000Z",6,37,23,30,0,0
"1990-08-04T01:03:00.000Z",2,42,52,2,0,0
"1990-08-04T01:26:00.000Z",43,1,54,0,0,0
"1990-08-04T02:38:00.000Z",39,4,17,37,0,0
"1990-08-04T02:58:00.000Z",37,6,17,37,0,0
"1990-08-04T04:07:00.000Z",37,4,42,12,0,0
"1990-09-11T04:45:00.000Z",4,40,31,24,0,0
"1990-09-11T05:18:00.000Z",14,30,49,6,0,0
"1990-09-11T05:54:00.000Z",44,0,53,2,0,0
"1990-09-11T06:18:00.000Z",39,5,54,1,0,0
"1990-09-12T06:15:00.000Z",21,23,18,36,0,0
"1990-09-12T06:42:00.000Z",44,0,54,0,0,0
"1990-09-12T07:05:00.000Z",6,38,39,16,0,0
"1990-09-14T10:15:00.000Z",23,19,45,9,0,0
"1990-09-18T02:26:00.000Z",44,0,55,0,0,0
"1990-09-18T02:26:00.000Z",44,0,55,0,0,0
"1990-09-18T02:26:00.000Z",44,0,55,0,0,0
"1990-09-18T02:26:00.000Z",44,0,55,0,0,0
"1990-09-18T02:26:00.000Z",44,0,55,0,0,0
"1990-09-18T02:26:00.000Z",44,0,55,0,0,0
"1990-09-18T02:26:00.000Z",44,0,55,0,0,0
"1990-09-18T02:46:00.000Z",25,19,55,0,0,0
"1990-09-18T04:09:00.000Z",41,3,27,28,0,0
"1990-09-24T07:01:00.000Z",41,1,53,0,0,0
"1990-09-24T07:21:00.000Z",32,10,17,36,0,0
"1990-09-24T07:36:00.000Z",31,11,24,29,0,0
"1990-09-25T02:16:00.000Z",15,29,42,13,0,0
"1990-09-25T03:51:00.000Z",43,0,55,0,0,0
"1990-09-25T03:51:00.000Z",43,0,55,0,0,0
"1990-09-25T04:27:00.000Z",36,7,43,12,0,0
"1990-09-25T06:46:00.000Z",16,27,46,9,0,0
"1990-09-25T07:46:00.000Z",30,12,4,46,0,0
"1990-09-26T11:57:00.000Z",41,1,55,0,0,0
"1990-09-26T03:11:00.000Z",5,37,38,17,0,0
"1990-09-26T05:01:00.000Z",4,38,46,8,0,0
"1990-09-26T05:25:00.000Z",2,40,53,2,0,0
"1990-10-02T02:16:00.000Z",43,1,53,2,0,0
"1990-10-02T06:00:00.000Z",44,0,46,9,0,0
"1990-10-03T06:16:00.000Z",36,8,54,0,0,0
"1990-10-09T12:02:00.000Z",24,20,42,13,0,0
"1990-10-10T01:02:00.000Z",12,31,42,13,0,0
"1990-10-10T04:14:00.000Z",43,0,55,0,0,0
"1990-10-11T05:01:00.000Z",43,0,55,0,0,0
"1990-10-11T05:23:00.000Z",38,5,53,2,0,0
"1990-10-12T02:59:00.000Z",8,34,40,14,0,0
"1990-10-12T04:14:00.000Z",20,21,50,3,0,0
"1990-10-12T05:22:00.000Z",18,21,51,2,0,0
"1990-10-12T06:02:00.000Z",25,14,51,1,0,0
"1990-10-12T07:38:00.000Z",8,29,43,9,0,0
"1990-10-15T03:42:00.000Z",8,34,38,16,0,0
"1990-10-15T06:02:00.000Z",9,32,35,18,0,0
"1990-10-15T07:24:00.000Z",37,5,42,11,0,0
"1990-10-16T07:52:00.000Z",23,20,52,1,0,0
"1990-10-16T08:12:00.000Z",35,8,0,53,0,0
"1990-10-16T09:06:00.000Z",9,34,53,0,0,0
"1990-10-17T09:24:00.000Z",7,37,25,30,0,0
"1990-10-17T11:33:00.000Z",26,18,14,41,0,0
"1990-10-18T10:33:00.000Z",12,32,29,26,0,0
"1990-10-18T01:31:00.000Z",8,37,37,18,0,0
"1990-10-18T03:02:00.000Z",16,29,28,27,0,0
"1990-10-18T04:07:00.000Z",0,45,21,34,0,0
"1990-10-18T04:41:00.000Z",43,2,55,0,0,0
"1990-10-18T06:34:00.000Z",0,45,0,55,0,0
"1990-10-18T06:59:00.000Z",12,33,37,18,0,0
"1990-10-18T07:17:00.000Z",29,16,10,45,0,0
"1990-10-18T08:09:00.000Z",29,16,19,36,0,0
"1990-10-18T08:29:00.000Z",7,38,26,29,0,0
"1990-10-18T08:45:00.000Z",5,40,39,16,0,0
"1990-10-18T09:18:00.000Z",30,15,39,16,0,0
"1990-10-19T12:41:00.000Z",40,5,35,20,0,0
"1990-10-19T01:06:00.000Z",23,22,31,24,0,0
"1990-10-19T03:30:00.000Z",19,25,55,0,0,0
"1990-10-19T05:02:00.000Z",38,6,52,2,0,0
"1990-10-19T07:28:00.000Z",30,14,9,44,0,0
"1990-10-19T08:30:00.000Z",43,1,51,1,0,0
"1990-10-19T09:51:00.000Z",10,34,32,21,0,0
"1990-10-19T11:22:00.000Z",33,11,8,46,0,0
"1990-10-22T02:00:00.000Z",42,2,53,1,0,0
"1990-10-22T03:59:00.000Z",0,44,1,53,0,0
"1990-10-22T11:10:00.000Z",6,38,42,12,0,0
"1990-10-23T04:29:00.000Z",38,6,14,38,0,0
"1990-10-23T09:24:00.000Z",15,29,47,5,0,0
"1990-10-24T11:52:00.000Z",11,34,55,0,0,0
"1990-10-24T01:35:00.000Z",1,43,51,4,0,0
"1990-10-24T01:59:00.000Z",35,9,41,14,0,0
"1990-10-24T03:24:00.000Z",23,21,6,49,0,0
"1990-10-24T05:49:00.000Z",25,18,48,6,0,0
"1990-10-24T07:44:00.000Z",38,5,54,1,0,0
"1990-10-24T10:48:00.000Z",2,39,30,21,0,0
"1990-10-25T10:46:00.000Z",5,37,37,14,0,0
"1990-10-25T11:34:00.000Z",34,8,16,36,0,0
"1990-10-25T02:45:00.000Z",20,22,53,0,0,0
"1990-10-25T03:10:00.000Z",25,18,47,6,0,0
"1990-10-25T06:32:00.000Z",29,14,53,1,0,0
"1990-10-25T06:55:00.000Z",41,2,1,53,0,0
"1990-10-25T07:30:00.000Z",29,13,31,23,0,0
"1990-10-25T08:28:00.000Z",43,0,52,1,0,0
"1990-10-26T03:48:00.000Z",37,6,43,11,0,0
"1990-10-26T04:09:00.000Z",37,6,43,11,0,0
"1990-10-26T06:36:00.000Z",1,42,53,0,0,0
"1990-10-26T07:08:00.000Z",0,42,52,2,0,0
"1990-10-26T09:10:00.000Z",38,5,51,3,0,0
"1990-10-27T12:01:00.000Z",39,5,50,5,0,0
"1990-10-27T12:21:00.000Z",38,6,55,0,0,0
"1990-10-27T05:31:00.000Z",19,25,35,20,0,0
"1991-01-12T11:34:00.000Z",1,43,45,10,0,0
"1991-01-12T02:44:00.000Z",42,2,10,45,0,0
"1991-01-17T06:09:00.000Z",44,0,54,0,0,0
"1991-01-24T12:20:00.000Z",44,0,55,0,0,0
"1991-01-24T12:40:00.000Z",44,0,55,0,0,0
"1991-01-24T12:52:00.000Z",44,0,55,0,0,0
"1991-01-24T01:08:00.000Z",44,0,55,0,0,0
"1991-01-24T01:20:00.000Z",44,0,55,0,0,0
"1991-01-30T02:19:00.000Z",44,0,55,0,0,0
"1991-01-31T02:29:00.000Z",0,44,2,53,0,0
"1991-02-07T01:19:00.000Z",42,0,52,0,0,0
"1991-02-20T05:02:00.000Z",5,38,20,34,0,0
"1991-02-20T05:36:00.000Z",6,37,17,37,0,0
"1991-02-20T07:30:00.000Z",41,0,50,0,0,0
"1991-02-20T08:13:00.000Z",11,30,27,24,0,0
"1991-02-21T06:11:00.000Z",12,29,36,18,0,0
"1991-02-28T01:51:00.000Z",7,35,48,6,0,0
"1991-02-28T02:48:00.000Z",7,35,49,5,0,0
